0.000000000000000000e+00,3.599999999999999867e-01,1.098594261326081067e+00,1.000000000000000000e+00
1.000000000000000000e+02,4.000000000000000222e-01,1.088205044772474483e+00,9.099181073703367373e-01
2.000000000000000000e+02,4.233333333333333393e-01,1.077720613316383913e+00,8.340283569641366856e-01
3.000000000000000000e+02,4.233333333333333393e-01,1.076454545098511462e+00,7.698229407236335531e-01
4.000000000000000000e+02,4.199999999999999845e-01,1.075547434863272533e+00,7.147962830593280747e-01
5.000000000000000000e+02,4.033333333333333215e-01,1.074153320904811526e+00,6.671114076050700392e-01
6.000000000000000000e+02,4.033333333333333215e-01,1.072315884443418854e+00,6.253908692933083380e-01
7.000000000000000000e+02,4.066666666666666763e-01,1.070312955835757807e+00,5.885815185403178162e-01
8.000000000000000000e+02,4.166666666666666852e-01,1.068021276970747113e+00,5.558643690939411020e-01
9.000000000000000000e+02,4.266666666666666941e-01,1.065733393658606198e+00,5.265929436545550013e-01
1.000000000000000000e+03,4.400000000000000022e-01,1.063010894470357570e+00,5.002501250625311924e-01
1.100000000000000000e+03,4.366666666666666474e-01,1.059360909817615104e+00,4.764173415912338894e-01
1.200000000000000000e+03,4.466666666666666563e-01,1.055634203488399869e+00,4.547521600727603697e-01
1.300000000000000000e+03,4.366666666666666474e-01,1.051824627717337535e+00,4.349717268377555346e-01
1.400000000000000000e+03,4.266666666666666941e-01,1.047501807278482522e+00,4.168403501458941007e-01
1.500000000000000000e+03,4.166666666666666852e-01,1.040388443799936669e+00,4.001600640256102182e-01
1.600000000000000000e+03,4.266666666666666941e-01,1.032466456460306325e+00,3.847633705271257809e-01
1.700000000000000000e+03,4.400000000000000022e-01,1.024981116439590778e+00,3.705075954057058252e-01
1.800000000000000000e+03,4.533333333333333104e-01,1.017020023246343774e+00,3.572704537334762676e-01
1.900000000000000000e+03,4.666666666666666741e-01,1.008328933547423922e+00,3.449465332873404844e-01
2.000000000000000000e+03,4.633333333333333193e-01,9.994896684865788306e-01,3.334444814938312684e-01
2.100000000000000000e+03,4.933333333333333459e-01,1.008979093279689376e+00,3.226847370119393377e-01
2.200000000000000000e+03,4.633333333333333193e-01,1.014963547916442055e+00,3.125976867771178558e-01
2.300000000000000000e+03,4.899999999999999911e-01,1.014313961568480638e+00,3.031221582297666250e-01
2.400000000000000000e+03,4.933333333333333459e-01,1.011456157787835375e+00,2.942041776993233326e-01
2.500000000000000000e+03,4.933333333333333459e-01,1.009663256213970906e+00,2.857959416976278977e-01
2.600000000000000000e+03,4.833333333333333370e-01,1.007116677951426453e+00,2.778549597110308023e-01
2.700000000000000000e+03,4.766666666666666829e-01,1.001716835600660049e+00,2.703433360367666904e-01
